Steps,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Policy/GAIL Value Estimate,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward,Policy/Curiosity Reward,Policy/GAIL Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Curiosity Forward Loss,Losses/Curiosity Inverse Loss,Losses/GAIL Loss,Policy/GAIL Policy Estimate,Policy/GAIL Expert Estimate,Losses/Pretraining Loss
32000,0.6978628,0.948179,66.28646,-0.7213019,0.00010943167,0.4032197675551288,181.66666666666666,0.4032198094452421,0.9404241616527239,156.7300755182902,11.241666,0.21376841,0.28165078,0.23160926,1.3404768,0.41863298,0.62128913,0.014102871
32500,0.56341916,0.87824386,68.5535,-0.7528538,0.000106439926,1.5992586250613385,187.0,1.5992586850188673,0.589325588196516,131.85672521591187,1.7128152,0.17985933,0.14415574,0.17085682,1.4635949,0.4932694,0.50969183,0.013862049
33000,0.38845924,0.8330466,68.63393,-0.779384,0.00010345273,1.4376051926155924,417.0,1.437605271115899,1.5428419411182404,302.8104476928711,0.93326235,0.16902782,0.16284849,0.19739765,1.3487272,0.47137263,0.52411747,0.013839266
33500,0.7011375,1.1341631,69.52324,-0.8108314,0.00010057476,1.6782893630152103,195.66666666666666,1.6782893783723314,0.4546291053605576,165.18911155064902,5.9226227,0.26483828,0.09425719,0.1941319,1.4991325,0.50431764,0.49268758,0.013762236
34000,0.67380434,1.0123469,68.5479,-0.8375407,9.7577366e-05,1.7285070878715487,144.25,1.7285070645157248,0.1683713630773127,104.71986675262451,0.9277297,0.14937057,0.054426894,0.19167492,1.3292186,0.4685874,0.5360484,0.013495812
34500,0.38222358,0.84688234,69.269966,-0.8663439,9.441135e-05,1.6128661012662633,168.5,1.6128661464899778,0.21178790740668774,118.72114086151123,3.5189507,0.10821986,0.069759056,0.30110398,1.2926258,0.43020037,0.54463947,0.013446258
35000,0.5667821,0.94796884,65.442276,-0.8932902,9.137973e-05,1.339662511665665,297.0,1.3396625183522701,0.6992508880794048,153.45597553253174,4.1267915,0.2851215,0.19368689,0.30134317,1.2063701,0.42949858,0.5962499,0.01339069
35500,0.5762572,0.97148675,65.40646,-0.91780835,8.845677e-05,1.6267795079911593,225.0,1.6170816873200238,0.524044306948781,200.15383052825928,5.536748,0.13386375,0.08524099,0.27687055,1.3737873,0.47426683,0.53629124,0.01322929
36000,0.49626225,0.6282718,65.48834,-0.9435032,8.54547e-05,None,None,1.6461751889437437,0.22454551607370377,97.77465057373047,9.613727,0.11078537,0.21221656,0.5388017,1.1200583,0.37264356,0.59177166,0.013243145
36500,0.8139099,1.0683529,58.798107,-0.97288847,8.246577e-05,0.862015567960043,194.4,0.7292709599714726,0.8680376964039169,138.15206517279148,19.573801,0.1629388,0.16554642,0.2283037,1.1643738,0.3549687,0.6654589,0.0132592125
37000,0.65300536,0.83614814,62.167812,-1.0004579,7.943912e-05,1.497732550757064,230.0,1.462819658840696,0.34294818093379337,113.44813855489095,2.163565,0.12475537,0.09812423,0.1358376,1.4250039,0.49124825,0.52039516,0.013134508
37500,0.64837223,0.86036396,61.487488,-1.0246711,7.6488504e-05,1.6278394940181897,125.75,1.6397830930848916,0.15780598546067873,87.61716524759929,1.0313134,0.29137886,0.070733964,0.16347271,1.3204541,0.46763855,0.53503025,0.013128176
